Key,Screen/Context,English,Urdu,Roman Urdu,Notes
languageSectionTitle,Settings / Language selector,Settings,سیٹنگز,Settings,Settings section heading above the language row
languageRowLabel,Settings / Language selector,Language,زبان,Zaban,Settings row that opens the language selector
languageSheetTitle,Settings / Language selector,Choose your language,اپنی زبان منتخب کریں,Apni zaban chunein,Title of the language selector bottom sheet
authRoleQuestion,Authentication,What would you like to do?,آپ کیا کرنا چاہتے ہیں؟,Aap kya karna chahte hain?,Role selection screen heading
authRoleSubtitle,Authentication,Choose an option,اپنا آپشن منتخب کریں,Aik chunein,Role selection screen supporting line under the heading
authRoleClientTitle,Authentication,I need a home service,گھر کا کام کروانا ہے,Ghar ka kaam karwana hai,Client role card title
authRoleClientSubtitle,Authentication,"Book an Ustaad for repair, service, or installation.",مرمت، سروس یا انسٹالیشن کے لیے استاد بک کریں۔,"Marammat, safai ya nayi cheez lagwane ke liye Ustaad bulwayein.",Client role card supporting line
authRoleWorkerTitle,Authentication,I am an Ustaad,میں استاد ہوں,Main Ustaad hoon,Ustaad role card title
authRoleWorkerSubtitle,Authentication,Register to find and accept jobs.,کام لینے کے لیے رجسٹر کریں۔,Kaam dhoondne ke liye account banayein.,Ustaad role card supporting line
authWorkerTypeQuestion,Authentication,"Are you already a HandyGo
Ustaad?","کیا آپ پہلے سے HandyGo
استاد ہیں؟","Aap pehle se HandyGo
Ustaad hain?",Ustaad new-or-existing screen heading. The line break is deliberate.
authWorkerTypeNewTitle,Authentication,I am a new Ustaad,میں نیا استاد ہوں,Main naya Ustaad hoon,
authWorkerTypeNewSubtitle,Authentication,Create your new account on HandyGo.,HandyGo پر اپنا نیا اکاؤنٹ بنائیں۔,HandyGo par apna naya account banayein.,
authWorkerTypeExistingTitle,Authentication,I already have an account,میرا اکاؤنٹ پہلے سے بنا ہوا ہے,Mera account pehle se bana hua hai,
authWorkerTypeExistingSubtitle,Authentication,Log in to your account with OTP or password.,OTP یا پاس ورڈ سے اپنے اکاؤنٹ میں لاگ اِن کریں۔,OTP ya password se apne account mein login karein.,
authWelcomeToastTitle,Authentication,"Welcome, {name}!",خوش آمدید، {name}!,"Khush aamdeed, {name}!",Placeholders: {name} | Toast after sign-in. {name} is the user's own name and is never translated.
authWelcomeToastSubtitle,Authentication,Your account is ready to go.,آپ کا اکاؤنٹ تیار ہے۔,Aap ka account tayyar hai.,
authOtpExpired,Authentication,The code has expired. Request a new one.,کوڈ ختم ہو گیا ہے۔ نیا کوڈ منگوائیں۔,Code expire ho gaya hai. Naya code mangwayein.,
authOtpExpiresIn,Authentication,Code expires in {time},کوڈ {time} میں ختم ہوگا,Code {time} mein expire hoga,Placeholders: {time} | Countdown until the OTP stops working
authOtpResendCooldown,Authentication,Resend code ({seconds}s),کوڈ دوبارہ بھیجیں ({seconds}s),Code dobara bhejein ({seconds}s),Placeholders: {seconds}
authOtpResend,Authentication,Resend code,کوڈ دوبارہ بھیجیں,Code dobara bhejein,
authFieldFullName,Authentication,Your full name,آپ کا پورا نام,Aap ka poora naam,
authFieldFullNameShort,Authentication,Full name,پورا نام,Pura Naam,
authHintFullName,Authentication,Enter your full name,اپنا پورا نام لکھیں,Aap ka poora naam,
authFieldMobileNumber,Authentication,Mobile number,موبائل نمبر,Mobile number,
authFieldMobileNumberTitle,Authentication,Mobile Number,موبائل نمبر,Mobile number,
authFieldPassword,Authentication,Password,پاس ورڈ,Password,
authFieldConfirmPassword,Authentication,Re-enter password,پاس ورڈ دوبارہ لکھیں,Password Dobara Likhein,
authValidationNameRequired,Authentication,Please enter your name.,اپنا نام لکھیں۔,Poora naam likhein.,
authValidationPhoneRequired,Authentication,Please enter a mobile number.,موبائل نمبر لکھیں۔,Mobile number likhein.,
authValidationPhoneInvalid,Authentication,Please enter a valid Pakistani mobile number.,درست پاکستانی موبائل نمبر لکھیں۔,Sahi Pakistani mobile number likhein.,
authValidationPasswordRequired,Authentication,Please enter a password.,پاس ورڈ لکھیں۔,Password likhein.,
authValidationPasswordTooShort,Authentication,Password must be at least 8 characters.,پاس ورڈ کم از کم 8 حروف کا ہونا چاہیے۔,Password kam az kam 8 harf ka ho.,
authValidationConfirmPasswordRequired,Authentication,Please re-enter your password.,پاس ورڈ دوبارہ لکھیں۔,Password dobara likhein.,
authValidationPasswordsDoNotMatch,Authentication,Passwords do not match.,پاس ورڈ آپس میں نہیں ملتے۔,Dono password aik jaise nahi.,
authClientLoginTitle,Authentication,"Log in to book
an Ustaad","استاد بک کرنے کے لیے
لاگ اِن کریں","Ustaad book karne ke liye
login karein",Client sign-in heading. The line break is deliberate.
authClientOtpSubtitle,Authentication,Enter your name and mobile number. We will send a verification code.,اپنا نام اور موبائل نمبر لکھیں۔ ہم تصدیقی کوڈ بھیجیں گے۔,Apna naam aur mobile number dalain. Hum verification code bhejein ge.,
authClientPasswordSubtitle,Authentication,Continue with your mobile number and password.,اپنے موبائل نمبر اور پاس ورڈ سے آگے بڑھیں۔,Apna mobile number aur password se continue karein.,
authOtpWillBeSentNotice,Authentication,A verification code will be sent to this number.,اس نمبر پر تصدیقی کوڈ بھیجا جائے گا۔,Is number par verification code bheja jayega.,
authButtonSendCode,Authentication,Send Code,کوڈ بھیجیں,Code Bhejein,
authButtonVerifyAndContinue,Authentication,Verify and Continue,ویریفائی کر کے آگے بڑھیں,Verify Karke Aage Barhein,
authButtonLogIn,Authentication,Log In,لاگ اِن کریں,Login Karein,
authButtonCreateAccount,Authentication,Create Account,اکاؤنٹ بنائیں,Account Banayein,
authButtonForgotPassword,Authentication,Forgot password?,پاس ورڈ بھول گئے؟,Password Bhool Gaye?,
authButtonContinueWithOtp,Authentication,Continue with OTP,OTP سے آگے بڑھیں,OTP se Continue,
authButtonContinueWithPassword,Authentication,Continue with password,پاس ورڈ سے آگے بڑھیں,Password se Continue,
authButtonUstaadLogin,Authentication,Ustaad Login,استاد لاگ اِن,Ustaad Login,
authErrorGeneric,Authentication,Something went wrong.,کچھ غلط ہو گیا۔,Kuch ghalat ho gaya.,
authErrorOtpSendFailed,Authentication,"The OTP could not be sent right now. Continue with your password, or try again shortly.",OTP فی الحال نہیں بھیجا جا سکا۔ پاس ورڈ سے آگے بڑھیں یا تھوڑی دیر بعد دوبارہ کوشش کریں۔,Code filhal nahi bheja ja saka. Password se aage barhein ya thori dair baad koshish karein.,
commonCancel,Shared,Cancel,منسوخ کریں,Cancel,
commonSave,Shared,Save,محفوظ کریں,Save,
